NUM_NEWTON_STEPS,ADDR_WIDTH,WORD_WIDTH,LUT,BRAM
0,6,6,14,0.0
0,6,8,16,0.0
0,6,10,18,0.0
0,6,12,20,0.0
0,6,14,22,0.0
0,6,16,24,0.0
0,7,6,20,0.0
0,7,8,26,0.0
0,7,10,30,0.0
0,7,12,35,0.0
0,7,14,40,0.0
0,7,16,45,0.0
0,8,6,29,0.0
0,8,8,41,0.0
0,8,10,50,0.0
0,8,12,62,0.0
0,8,14,69,0.0
0,8,16,79,0.0
0,9,6,48,0.0
0,9,8,69,0.0
0,9,10,90,0.0
0,9,12,112,0.0
0,9,14,132,0.0
0,9,16,152,0.0
0,10,6,73,0.0
0,10,8,118,0.0
0,10,10,157,0.0
0,10,12,210,0.0
0,10,14,239,0.0
0,10,16,284,0.0
0,11,6,91,0.0
0,11,8,178,0.0
0,11,10,259,0.0
0,11,12,349,0.0
0,11,14,457,0.0
0,11,16,522,0.0
