NUM_NEWTON_STEPS,ADDR_WIDTH,WORD_WIDTH,RMSRE,MAX_REL_ERROR
0,6,6,0.0046347644,0.011937721
0,6,8,0.0033404519,0.0085527301
0,6,10,0.0031889492,0.0079187191
0,6,12,0.0031841501,0.0077857549
0,6,14,0.0031953461,0.0076836288
0,6,16,0.0032030304,0.0077237564
0,7,6,0.0036235341,0.009056649
0,7,8,0.0017936578,0.0049051971
0,7,10,0.0016010837,0.004047472
0,7,12,0.0016041241,0.0038862815
0,7,14,0.0016081903,0.0038081893
0,7,16,0.0016156001,0.0038425213
0,8,6,0.0034642402,0.0082930639
0,8,8,0.0011505713,0.0030860816
0,8,10,0.000828356,0.0021900327
0,8,12,0.0008032965,0.0019566289
0,8,14,0.0007908521,0.0019387699
0,8,16,0.0007923881,0.0019457885
0,9,6,0.0034009606,0.0080014243
0,9,8,0.0009267533,0.0023517508
0,9,10,0.0004486702,0.0012475445
0,9,12,0.0004032889,0.0009994945
0,9,14,0.0003996969,0.0009814318
0,9,16,0.0003991725,0.0009606866
0,10,6,0.0033723822,0.0077980928
0,10,8,0.0008661338,0.0021227432
0,10,10,0.0002933542,0.0007946003
0,10,12,0.0002065577,0.0005248164
0,10,14,0.0002017272,0.0005007105
0,10,16,0.0001991893,0.0004858848
0,11,6,0.0034020901,0.0077801616
0,11,8,0.0008511987,0.0020145407
0,11,10,0.0002344148,0.0005983008
0,11,12,0.0001139903,0.0003066962
0,11,14,9.97154e-05,0.0002623455
0,11,16,9.91911e-05,0.0002402865
1,6,6,4.9173e-05,0.000213302
1,6,8,2.44321e-05,0.0001099208
1,6,10,2.22661e-05,9.57059e-05
1,6,12,2.21707e-05,9.05949e-05
1,6,14,2.21839e-05,8.87908e-05
1,6,16,2.18682e-05,8.78379e-05
1,7,6,2.96928e-05,0.0001220412
1,7,8,7.5034e-06,3.55645e-05
1,7,10,5.6435e-06,2.37705e-05
1,7,12,5.4829e-06,2.28276e-05
1,7,14,5.5344e-06,2.25908e-05
1,7,16,5.4912e-06,2.23091e-05
1,8,6,2.64211e-05,0.0001041808
1,8,8,3.1592e-06,1.38318e-05
1,8,10,1.4983e-06,7.0169e-06
1,8,12,1.4054e-06,5.9273e-06
1,8,14,1.3821e-06,5.6029e-06
1,8,16,1.3686e-06,5.5754e-06
1,9,6,2.5642e-05,9.62715e-05
1,9,8,1.9561e-06,8.2746e-06
1,9,10,4.61e-07,2.3076e-06
1,9,12,3.575e-07,1.5353e-06
1,9,14,3.494e-07,1.4205e-06
1,9,16,3.458e-07,1.4144e-06
1,10,6,2.47907e-05,9.21138e-05
1,10,8,1.6746e-06,6.5964e-06
1,10,10,2.029e-07,9.509e-07
1,10,12,1.027e-07,4.802e-07
1,10,14,9.53e-08,3.879e-07
1,10,16,9.55e-08,3.804e-07
1,11,6,2.46197e-05,9.10087e-05
1,11,8,1.5689e-06,6.1364e-06
1,11,10,1.304e-07,5.579e-07
1,11,12,5.07e-08,1.96e-07
1,11,14,4.63e-08,1.676e-07
1,11,16,4.58e-08,1.651e-07
2,6,6,4.78e-08,1.571e-07
2,6,8,4.7e-08,1.448e-07
2,6,10,4.67e-08,1.367e-07
2,6,12,4.72e-08,1.357e-07
2,6,14,4.65e-08,1.395e-07
2,6,16,4.66e-08,1.378e-07
2,7,6,4.71e-08,1.494e-07
2,7,8,4.61e-08,1.416e-07
2,7,10,4.67e-08,1.398e-07
2,7,12,4.67e-08,1.39e-07
2,7,14,4.63e-08,1.406e-07
2,7,16,4.61e-08,1.349e-07
2,8,6,4.69e-08,1.415e-07
2,8,8,4.58e-08,1.362e-07
2,8,10,4.6e-08,1.381e-07
2,8,12,4.52e-08,1.345e-07
2,8,14,4.55e-08,1.365e-07
2,8,16,4.54e-08,1.356e-07
2,9,6,4.68e-08,1.358e-07
2,9,8,4.6e-08,1.345e-07
2,9,10,4.38e-08,1.309e-07
2,9,12,4.39e-08,1.352e-07
2,9,14,4.37e-08,1.325e-07
2,9,16,4.34e-08,1.371e-07
2,10,6,4.73e-08,1.389e-07
2,10,8,4.56e-08,1.377e-07
2,10,10,4.25e-08,1.336e-07
2,10,12,4.11e-08,1.273e-07
2,10,14,4.14e-08,1.332e-07
2,10,16,4.06e-08,1.365e-07
2,11,6,4.72e-08,1.413e-07
2,11,8,4.53e-08,1.364e-07
2,11,10,4.13e-08,1.261e-07
2,11,12,3.77e-08,1.23e-07
2,11,14,3.77e-08,1.15e-07
2,11,16,3.77e-08,1.305e-07
